HOST_NAME, PERCENT_TOTAL_TIME_OK, PERCENT_TOTAL_TIME_WARNING, PERCENT_TOTAL_TIME_UNKNOWN, PERCENT_TOTAL_TIME_CRITICAL, PERCENT_TOTAL_TIME_UNDETERMINED
"bip.unepwcmc-013.vm.brightbox.net", 100.000%, 0.000%, 0.000%, 0.000%, 0.000%
"bipnational.net", 100.000%, 0.000%, 0.000%, 0.000%, 0.000%
"bluecarbon.unep-wcmc.org", 100.000%, 0.000%, 0.000%, 0.000%, 0.000%
"captivebreeding.unep-wcmc.org", 100.000%, 0.000%, 0.000%, 0.000%, 0.000%
"carbonbiodiversitycalculator.unep-wcmc.org", 100.000%, 0.000%, 0.000%, 0.000%, 0.000%
"catalog.ipbes.net", 100.000%, 0.000%, 0.000%, 0.000%, 0.000%
"checklist.cites.org", 100.000%, 0.000%, 0.000%, 0.000%, 0.000%
"cites-dashboards.unep-wcmc.org", 100.000%, 0.000%, 0.000%, 0.000%, 0.000%
"citescentroamerica.unep-wcmc.org", 100.000%, 0.000%, 0.000%, 0.000%, 0.000%
"citeswiki.unep-wcmc.org", 100.000%, 0.000%, 0.000%, 0.000%, 0.000%
"cms-family-ors.unep-wcmc.org", 100.000%, 0.000%, 0.000%, 0.000%, 0.000%
"data.unep-wcmc.org", 100.000%, 0.000%, 0.000%, 0.000%, 0.000%
"datadownload.unep-wcmc.org", 100.000%, 0.000%, 0.000%, 0.000%, 0.000%
"dev.unep-wcmc.org", 100.000%, 0.000%, 0.000%, 0.000%, 0.000%
"development3.unep-wcmc.org", 100.000%, 0.000%, 0.000%, 0.000%, 0.000%
"downloads.wdpa.org", 100.000%, 0.000%, 0.000%, 0.000%, 0.000%
"ecosystemassessments.net", 100.000%, 0.000%, 0.000%, 0.000%, 0.000%
"elibrary.unep-wcmc.org", 100.000%, 0.000%, 0.000%, 0.000%, 0.000%
"epix.unep-wcmc.org", 100.000%, 0.000%, 0.000%, 0.000%, 0.000%
"euanalysis.unep-wcmc.org", 100.000%, 0.000%, 0.000%, 0.000%, 0.000%
"euanalysis2010.unep-wcmc.org", 100.000%, 0.000%, 0.000%, 0.000%, 0.000%
"euanalysis2011.unep-wcmc.org", 100.000%, 0.000%, 0.000%, 0.000%, 0.000%
"euanalysis2012.unep-wcmc.org", 100.000%, 0.000%, 0.000%, 0.000%, 0.000%
"gid.unep-wcmc.org", 100.000%, 0.000%, 0.000%, 0.000%, 0.000%
"intranet.unep-wcmc.org", 100.000%, 0.000%, 0.000%, 0.000%, 0.000%
"ipbes.unepwcmc-014.vm.brightbox.net", 100.000%, 0.000%, 0.000%, 0.000%, 0.000%
"labs.unep-wcmc.org", 100.000%, 0.000%, 0.000%, 0.000%, 0.000%
"macarthur.unep-wcmc.org", 100.000%, 0.000%, 0.000%, 0.000%, 0.000%
"magpie.unep-wcmc.org", 100.000%, 0.000%, 0.000%, 0.000%, 0.000%
"mypolygon.unep-wcmc.org", 100.000%, 0.000%, 0.000%, 0.000%, 0.000%
"ort.demoapps.unep-wcmc.org", 100.000%, 0.000%, 0.000%, 0.000%, 0.000%
"sigtrade.unep-wcmc.org", 100.000%, 0.000%, 0.000%, 0.000%, 0.000%
"uknea.unep-wcmc.org", 100.000%, 0.000%, 0.000%, 0.000%, 0.000%
"unep-wcmc-apps.org", 99.852%, 0.000%, 0.000%, 0.148%, 0.000%
"unep-wcmc-apps.org", 100.000%, 0.000%, 0.000%, 0.000%, 0.000%
"validation.unep-wcmc.org", 98.994%, 0.000%, 0.000%, 1.006%, 0.000%
"wcmc.io", 100.000%, 0.000%, 0.000%, 0.000%, 0.000%
"www.biodiversitya-z.org", 100.000%, 0.000%, 0.000%, 0.000%, 0.000%
"www.bipindicators.net", 100.000%, 0.000%, 0.000%, 0.000%, 0.000%
"www.carbon-biodiversity.net", 100.000%, 0.000%, 0.000%, 0.000%, 0.000%
"www.coraldisease.org", 100.000%, 0.000%, 0.000%, 0.000%, 0.000%
"www.crocsurveys.net", 100.000%, 0.000%, 0.000%, 0.000%, 0.000%
"www.iccaregistry.org", 100.000%, 0.000%, 0.000%, 0.000%, 0.000%
"www.parcc-web.org", 98.615%, 0.000%, 0.000%, 1.385%, 0.000%
"www.protectedplanet.net", 100.000%, 0.000%, 0.000%, 0.000%, 0.000%
"www.proteuspartners.org", 100.000%, 0.000%, 0.000%, 0.000%, 0.000%
"www.speciesplus.net", 99.830%, 0.000%, 0.000%, 0.170%, 0.000%
"www.unep-wcmc.org", 100.000%, 0.000%, 0.000%, 0.000%, 0.000%
"www.wdpa-marine.org", 100.000%, 0.000%, 0.000%, 0.000%, 0.000%
