name	value
api.speciesplus.net	99.935
bern-ors.unep-wcmc.org	99.874
bip.unepwcmc-013.vm.brightbox.net	99.935
bipnational.net	99.822
bluecarbon.unep-wcmc.org	99.852
captivebreeding.unep-wcmc.org	100.000
carbonbiodiversitycalculator.unep-wcmc.org	99.895
catalog.ipbes.net	99.850
checklist.cites.org	99.889
cites-dashboards.unep-wcmc.org	99.957
citescentroamerica.unep-wcmc.org	99.888
citeswiki.unep-wcmc.org	100.000
cms-family-ors.unep-wcmc.org	99.874
data.unep-wcmc.org	99.895
datadownload.unep-wcmc.org	99.912
dev.unep-wcmc.org	100.000
development3.unep-wcmc.org	100.000
downloads.wdpa.org	100.000
ecosystemassessments.net	99.667
elibrary.unep-wcmc.org	99.813
epix.unep-wcmc.org	100.000
euanalysis.unep-wcmc.org	100.000
euanalysis2010.unep-wcmc.org	99.980
euanalysis2011.unep-wcmc.org	100.000
euanalysis2012.unep-wcmc.org	100.000
euanalysis2013.unep-wcmc.org	100.000
intranet.unep-wcmc.org	100.000
ipbes.unepwcmc-014.vm.brightbox.net	99.852
labs.unep-wcmc.org	99.935
macarthur.unep-wcmc.org	100.000
magpie.unep-wcmc.org	99.872
mypolygon.unep-wcmc.org	99.852
ort.demoapps.unep-wcmc.org	99.935
sigtrade.unep-wcmc.org	100.000
trade.cites.org	99.778
uknea.unep-wcmc.org	100.000
validation.unep-wcmc.org	100.000
wcmc.io	99.872
www.biodiversitya-z.org	100.000
www.bipindicators.net	100.000
www.carbon-biodiversity.net	100.000
www.coraldisease.org	100.000
www.crocsurveys.net	100.000
www.iccaregistry.org	99.895
www.parcc-web.org	99.370
www.protectedplanet.net	99.978
www.proteuspartners.org	100.000
www.speciesplus.net	99.777
www.unep-wcmc.org	100.000
www.wdpa-marine.org	99.978
